"LANGUAGE","Bahasa Indonesia","Language name (in native language)."
"LANGUAGE_CHOICE","Pilih bahasa","Heading for language selection menu."
"LANGUAGE_GAME","Gunakan bahasa sistem","Default selection in language selection menu."
"NOTE_CLOSE","Tutup","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Jangan tampilkan lagi","Notification button text - don't show this notification again."
"NO","Tidak","Notification button text - don't perform this action."
"YES","Ya","Notification button text - perfom this action."
"PRESS_ANY_KEY","Tekan tombol apa saja","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Konflik mod terdeteksi!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Ini berarti bahwa mod ini tidak bisa beroperasi dan sudah dimatikan.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Mod yang bertentangan adalah:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","The mod was unable to properly apply its required Harmony patches.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Kemungkinan penyebab masalah termasuk:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Mod ketergantungan Harmony 2 yang diperlukan tidak diinstal","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Harmony 2 tidak bisa beroperasi dengan semestinya karena sebuah mod lainnya yang tua dan/atau rusak","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Another mod may be trying to apply a conflicting Harmony patch","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Aktifkan pencatatan debug secara detail","Option to record more detail in game log"
