"LANGUAGE","正體中文","Language name (in native language)."
"LANGUAGE_CHOICE","語言設置","Heading for language selection menu."
"LANGUAGE_GAME","使用遊戲預設語言","Default selection in language selection menu."
"NOTE_CLOSE","關閉","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","不要在顯示","Notification button text - don't show this notification again."
"NO","不","Notification button text - don't perform this action."
"YES","是","Notification button text - perfom this action."
"PRESS_ANY_KEY","請按任意鍵","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","檢測到模組(Mod)衝突！","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","這意味著模組(Mod)將無法正常使用，並且已自動禁用。","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","有衝突的模組(Mod)：","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","“高級建築等級控制” 模組(Mod) 無法完成因為它須要 “Harmony” 支援庫。","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","導致此問題有可能包括的原因：","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","“Harmony 2” 支援庫模組(Mod)沒有訂閱。","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","一些老的或壞的模組(Mod)導致 “Harmony 2” 支援庫模組(Mod)無法正常運轉。","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","另一個模組可能在嘗試應用衝突的Harmony補丁","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","啟用詳細的除錯記錄","Option to record more detail in game log"
